iter	Logloss
0	0.6714830566
1	0.6502172632
2	0.6336007816
3	0.6175081442
4	0.6040731238
5	0.5916538717
6	0.5790650166
7	0.5696096849
8	0.5604534863
9	0.5528012795
10	0.5464939278
11	0.5408138129
12	0.5341799766
13	0.5280862914
14	0.5235362087
15	0.5194021249
16	0.5160556289
17	0.5122301616
18	0.5081476585
19	0.5049752182
20	0.5018391503
21	0.4985267137
22	0.4949093037
23	0.4923933021
24	0.4909935124
25	0.4875979222
26	0.4853764854
27	0.4836709706
28	0.4823522816
29	0.4805307682
30	0.4786275758
31	0.477177015
32	0.4755662189
33	0.4733852312
34	0.4713539257
35	0.4696135998
36	0.4683832108
37	0.4666329966
38	0.4656444931
39	0.4640459849
40	0.4625285775
41	0.4611604764
42	0.4598306559
43	0.4590036021
44	0.4578015767
45	0.4562724595
46	0.4552948562
47	0.4537715505
48	0.4519815811
49	0.4502930381
50	0.4496287929
51	0.4487729129
52	0.4474695478
53	0.4465280566
54	0.4459344746
55	0.4449855528
56	0.4441431173
57	0.4430673835
58	0.4423283406
59	0.4415293323
60	0.4406149325
61	0.440065327
62	0.4396089656
63	0.4389700192
64	0.4384724858
65	0.4380388499
66	0.4373017153
67	0.4361816869
68	0.4353862927
69	0.4346375061
70	0.4340110211
71	0.4333687497
72	0.4328498786
73	0.4321408473
74	0.4315883794
75	0.4309889569
76	0.4304039619
77	0.4299130207
78	0.4292645908
79	0.4286471845
80	0.4282669797
81	0.4276991591
82	0.4273742936
83	0.4268923443
84	0.4261661387
85	0.4257530888
86	0.4251222669
87	0.4242729212
88	0.4237867217
89	0.4232452985
90	0.422808887
91	0.4225170112
92	0.4218803489
93	0.4215258766
94	0.4211744402
95	0.4202749595
96	0.4197750552
97	0.41925257
98	0.4186104721
99	0.4181283493
100	0.4178028477
101	0.417494
102	0.4170695874
103	0.4166994154
104	0.4162750606
105	0.4158836665
106	0.4155723322
107	0.4151365568
108	0.4147202109
109	0.4142266097
110	0.413914437
111	0.4132992859
112	0.412890544
113	0.4126592697
114	0.4119250552
115	0.4116596347
116	0.4113485317
117	0.4107892693
118	0.4104635942
119	0.4100343243
120	0.4095522882
121	0.4092442211
122	0.4088971794
123	0.4084106619
124	0.4078941616
125	0.4078438532
126	0.4075455008
127	0.4070490083
128	0.4066416543
129	0.4063356111
130	0.4060225132
131	0.4055753172
132	0.4054170768
133	0.4048538244
134	0.4042995061
135	0.4041602326
136	0.4038584107
137	0.4034018758
138	0.403165773
139	0.4029386042
140	0.4026916302
141	0.4024182875
142	0.402172441
143	0.4018631018
144	0.4016671879
145	0.4012264394
146	0.4010120213
147	0.4003812283
148	0.4001184099
149	0.399971995
150	0.3996279024
151	0.3993802344
152	0.398905947
153	0.3986153433
154	0.3982126732
155	0.3979497103
156	0.397712104
157	0.39738108
158	0.3970020318
159	0.396556744
160	0.3964180488
161	0.3962789199
162	0.396036167
163	0.395806454
164	0.3953271935
165	0.3950874766
166	0.394677983
167	0.394331375
168	0.3940192891
169	0.3934078966
170	0.3929965816
171	0.3926968125
172	0.3925235085
173	0.3923366733
174	0.3921064398
175	0.3915207798
176	0.3912358142
177	0.3909952298
178	0.3904644755
179	0.3901378174
180	0.3897689754
181	0.3894077953
182	0.3889037566
183	0.3887547394
184	0.3886073703
185	0.3883448121
186	0.3881268377
187	0.3878262591
188	0.3875844315
189	0.3874563762
190	0.3873049882
191	0.3869073489
192	0.3863424485
193	0.3859862992
194	0.3857520468
195	0.3854117418
196	0.3851919459
197	0.3850006581
198	0.3848756097
199	0.3847348327
200	0.3844179472
201	0.3842910774
202	0.3839972933
203	0.3835872215
204	0.3834526029
205	0.3833509162
206	0.383073439
207	0.3829286432
208	0.3826363336
209	0.3825295004
210	0.3824252694
211	0.3821366607
212	0.3819696308
213	0.3817210376
214	0.3815075447
215	0.3813265498
216	0.3812065612
217	0.380873311
218	0.3805654174
219	0.3804493321
220	0.3802511052
221	0.3800699658
222	0.3798997555
223	0.3797485699
224	0.37966053
225	0.3794929219
226	0.3793705914
227	0.3790845848
228	0.3789194343
229	0.3787002455
230	0.3784416195
231	0.3782098536
232	0.3779368868
233	0.3778672934
234	0.3778350845
235	0.3777699726
236	0.3774475358
237	0.377177547
238	0.376886047
239	0.3767866155
240	0.3764859502
241	0.376310709
242	0.3761228329
243	0.375925589
244	0.3757925896
245	0.3755942471
246	0.3754714828
247	0.3752626449
248	0.3750202969
249	0.3747941112
250	0.3746953736
251	0.3745510692
252	0.3743836635
253	0.3741858124
254	0.3741004037
255	0.3739992952
256	0.3738643587
257	0.373460879
258	0.3731182321
259	0.3729092495
260	0.3726248621
261	0.3724980212
262	0.3724297
263	0.3723281
264	0.3721898385
265	0.3720503915
266	0.3718998131
267	0.3716699265
268	0.3715710443
269	0.3714076864
270	0.3713401458
271	0.3711118206
272	0.3707914366
273	0.3707112611
274	0.3707093528
275	0.370619
276	0.3702046201
277	0.3699712062
278	0.3699017863
279	0.3698581856
280	0.3697017379
281	0.3694757546
282	0.3694074333
283	0.3693271711
284	0.3692014289
285	0.3690895937
286	0.3689090326
287	0.3688274403
288	0.3687503585
289	0.3686185156
290	0.3685439782
291	0.368399934
292	0.3681450378
293	0.3680582123
294	0.367789727
295	0.3677392162
296	0.3675132618
297	0.3673610931
298	0.3672196512
299	0.3669766092
300	0.3668756164
301	0.3666402653
302	0.3665245269
303	0.3664619594
304	0.3661744205
305	0.3661306174
306	0.3661209316
307	0.3659938304
308	0.3657935796
309	0.3656071203
310	0.365482043
311	0.3653776963
312	0.3653480606
313	0.365281503
314	0.3651942439
315	0.3650813679
316	0.3649678558
317	0.3646851742
318	0.3646016159
319	0.3645223367
320	0.3644502568
321	0.3642647227
322	0.3642051043
323	0.3641437511
324	0.3640766153
325	0.36399537
326	0.3637080046
327	0.3636042361
328	0.3635677191
329	0.3633115218
330	0.3631649623
331	0.3630917548
332	0.3628828301
333	0.3628305266
334	0.3627838901
335	0.3627600948
336	0.3626221802
337	0.3625541481
338	0.3625129761
339	0.3624632459
340	0.3623811622
341	0.3623556899
342	0.3622206377
343	0.3621982302
344	0.3621297644
345	0.361985142
346	0.3617080696
347	0.3615524025
348	0.361431055
349	0.3612320763
350	0.3611889961
351	0.3608597647
352	0.360841434
353	0.3608375596
354	0.360667118
355	0.3606187467
356	0.3605690454
357	0.3604386771
358	0.3602572486
359	0.3602261383
360	0.360091115
361	0.3599512343
362	0.3598236127
363	0.3597721478
364	0.3597291832
365	0.3597071515
366	0.3595732558
367	0.3595113533
368	0.359491866
369	0.3593751446
370	0.3592815824
371	0.3589179158
372	0.3586891279
373	0.3586300877
374	0.3585952477
375	0.3583276009
376	0.3583021286
377	0.3582895804
378	0.3582540464
379	0.3581846554
380	0.3581472132
381	0.3579791425
382	0.3579464709
383	0.3577979742
384	0.3576394157
385	0.3576074381
386	0.3574654757
387	0.357405597
388	0.357207746
389	0.3571730505
390	0.3571205446
391	0.357014839
392	0.3568900509
393	0.3568243897
394	0.3568100489
395	0.3566384507
396	0.3564265769
397	0.3562762876
398	0.3562439919
399	0.3561572242
400	0.3560897126
401	0.3560014704
402	0.3559114067
403	0.3558208225
404	0.3557173143
405	0.3556243304
406	0.3555375049
407	0.3554832932
408	0.3552005249
409	0.3550347383
410	0.3550147306
411	0.3549058156
412	0.3548619258
413	0.3548535122
414	0.354791147
415	0.3547006496
416	0.3545176887
417	0.3544978544
418	0.3544837738
419	0.3543164548
420	0.3542585712
421	0.3541920715
422	0.3541046388
423	0.3540304194
424	0.3539846792
425	0.3537786747
426	0.3536593222
427	0.3535459836
428	0.3535085702
429	0.353465837
430	0.3534272961
431	0.3534136781
432	0.3533869047
433	0.3533786356
434	0.3533311317
435	0.353235748
436	0.3531728335
437	0.3531140825
438	0.3529788857
439	0.3528265436
440	0.3527845042
441	0.3525947777
442	0.3525049453
443	0.3523697774
444	0.3522320652
445	0.3521387054
446	0.3521161533
447	0.3520733333
448	0.3520340696
449	0.3519653147
450	0.3518211838
451	0.3517541348
452	0.3515459907
453	0.351423718
454	0.3513595314
455	0.3513305028
456	0.3512980914
457	0.3512219348
458	0.3511493056
459	0.3510945156
460	0.3510573625
461	0.3510016473
462	0.3509709707
463	0.3509530447
464	0.3508703827
465	0.3508036517
466	0.3507160745
467	0.3506451511
468	0.3505901299
469	0.3504660935
470	0.3502933388
471	0.3501045664
472	0.3500604164
