iter	Passed	Remaining
0	16	8175
1	32	8012
2	48	7954
3	64	7950
4	80	7944
5	95	7887
6	111	7885
7	127	7840
8	143	7837
9	159	7801
10	175	7791
11	191	7789
12	207	7785
13	224	7782
14	240	7779
15	256	7747
16	272	7741
17	288	7719
18	305	7724
19	322	7730
20	337	7704
21	353	7688
22	369	7662
23	385	7644
24	400	7617
25	417	7605
26	432	7580
27	448	7564
28	464	7546
29	480	7529
30	496	7516
31	507	7420
32	522	7399
33	539	7393
34	554	7372
35	571	7363
36	586	7344
37	603	7333
38	619	7320
39	634	7302
40	650	7287
41	666	7269
42	682	7255
43	698	7235
44	714	7221
45	730	7212
46	747	7203
47	763	7186
48	779	7173
49	795	7161
50	811	7144
51	827	7131
52	843	7115
53	860	7104
54	868	7024
55	883	7008
56	900	6997
57	916	6985
58	932	6971
59	948	6958
60	964	6941
61	980	6927
62	996	6910
63	1012	6897
64	1027	6879
65	1038	6827
66	1054	6816
67	1071	6806
68	1087	6791
69	1103	6781
70	1119	6765
71	1135	6752
72	1151	6734
73	1167	6721
74	1183	6705
75	1199	6692
76	1215	6676
77	1232	6666
78	1248	6654
79	1265	6642
80	1281	6628
81	1297	6612
82	1313	6598
83	1329	6581
84	1345	6568
85	1361	6554
86	1378	6541
87	1393	6525
88	1409	6509
89	1425	6494
90	1441	6477
91	1456	6461
92	1473	6447
93	1489	6433
94	1505	6419
95	1521	6403
96	1537	6388
97	1553	6374
98	1569	6357
99	1585	6342
100	1596	6305
101	1612	6290
102	1627	6273
103	1643	6259
104	1659	6244
105	1675	6227
106	1691	6214
107	1707	6198
108	1718	6165
109	1735	6153
110	1751	6138
111	1767	6124
112	1783	6108
113	1799	6094
114	1815	6078
115	1831	6063
116	1847	6048
117	1863	6032
118	1879	6017
119	1894	6000
120	1910	5985
121	1926	5968
122	1942	5954
123	1958	5939
124	1974	5922
125	1980	5879
126	1996	5864
127	2012	5848
128	2028	5833
129	2044	5817
130	2060	5803
131	2075	5787
132	2092	5772
133	2107	5756
134	2123	5742
135	2134	5712
136	2150	5697
137	2165	5681
138	2181	5666
139	2197	5649
140	2213	5635
141	2229	5620
142	2245	5605
143	2261	5591
144	2276	5574
145	2293	5559
146	2308	5543
147	2324	5529
148	2340	5513
149	2356	5499
150	2367	5472
151	2383	5456
152	2399	5441
153	2415	5427
154	2431	5413
155	2447	5397
156	2463	5382
157	2479	5367
158	2495	5352
159	2512	5338
160	2527	5322
161	2543	5307
162	2559	5291
163	2575	5276
164	2591	5262
165	2607	5245
166	2623	5231
167	2639	5215
168	2655	5200
169	2671	5185
170	2686	5169
171	2703	5155
172	2720	5141
173	2737	5128
174	2753	5112
175	2769	5097
176	2785	5083
177	2801	5067
178	2817	5053
179	2833	5037
180	2850	5023
181	2865	5007
182	2882	4992
183	2898	4977
184	2913	4961
185	2929	4945
186	2945	4929
187	2961	4914
188	2976	4898
189	2993	4883
190	3009	4868
191	3025	4853
192	3041	4838
193	3058	4824
194	3074	4809
195	3090	4793
196	3107	4779
197	3123	4764
198	3139	4749
199	3155	4733
200	3171	4718
201	3187	4702
202	3203	4686
203	3220	4673
204	3236	4657
205	3252	4642
206	3268	4626
207	3284	4610
208	3301	4596
209	3317	4581
210	3333	4565
211	3349	4550
212	3365	4534
213	3381	4519
214	3397	4503
215	3413	4488
216	3428	4471
217	3445	4456
218	3461	4440
219	3477	4425
220	3493	4410
221	3509	4394
222	3525	4379
223	3541	4363
224	3556	4347
225	3572	4331
226	3588	4315
227	3604	4300
228	3620	4284
229	3636	4269
230	3652	4253
231	3668	4237
232	3684	4221
233	3699	4205
234	3708	4181
235	3724	4166
236	3740	4151
237	3757	4136
238	3773	4120
239	3789	4105
240	3805	4089
241	3821	4074
242	3837	4058
243	3853	4043
244	3869	4027
245	3885	4012
246	3901	3996
247	3918	3981
248	3934	3966
249	3951	3951
250	3967	3935
251	3983	3920
252	3998	3903
253	4015	3889
254	4031	3873
255	4047	3857
256	4063	3842
257	4079	3826
258	4096	3811
259	4112	3795
260	4128	3780
261	4144	3764
262	4160	3749
263	4176	3733
264	4192	3717
265	4208	3701
266	4225	3687
267	4241	3671
268	4257	3655
269	4273	3640
270	4288	3624
271	4305	3608
272	4320	3592
273	4336	3576
274	4342	3553
275	4358	3537
276	4374	3521
277	4390	3506
278	4406	3490
279	4422	3475
280	4438	3459
281	4455	3444
282	4471	3428
283	4487	3412
284	4502	3396
285	4519	3381
286	4535	3366
287	4552	3350
288	4568	3335
289	4584	3319
290	4600	3304
291	4616	3288
292	4633	3273
293	4649	3257
294	4665	3242
295	4682	3227
296	4698	3211
297	4715	3196
298	4732	3181
299	4748	3165
300	4765	3150
301	4781	3135
302	4798	3119
303	4814	3104
304	4830	3088
305	4847	3073
306	4856	3053
307	4872	3037
308	4888	3021
309	4904	3006
310	4920	2990
311	4936	2974
312	4952	2958
313	4967	2942
314	4984	2927
315	4999	2911
316	5015	2895
317	5031	2879
318	5046	2863
319	5063	2848
320	5079	2832
321	5095	2816
322	5112	2801
323	5127	2785
324	5143	2769
325	5159	2753
326	5175	2738
327	5191	2722
328	5207	2706
329	5223	2691
330	5239	2675
331	5255	2659
332	5271	2643
333	5288	2628
334	5303	2612
335	5319	2596
336	5335	2580
337	5351	2565
338	5367	2549
339	5384	2533
340	5400	2517
341	5415	2501
342	5431	2486
343	5447	2470
344	5463	2454
345	5479	2438
346	5496	2423
347	5512	2407
348	5528	2391
349	5545	2376
350	5560	2360
351	5577	2344
352	5593	2329
353	5601	2310
354	5617	2294
355	5633	2278
356	5649	2263
357	5665	2247
358	5681	2231
359	5698	2215
360	5714	2200
361	5730	2184
362	5746	2168
363	5762	2153
364	5779	2137
365	5795	2121
366	5812	2106
367	5828	2090
368	5844	2074
369	5860	2059
370	5877	2043
371	5894	2028
372	5910	2012
373	5926	1996
374	5942	1980
375	5958	1965
376	5974	1949
377	5990	1933
378	6006	1917
379	6022	1901
380	6038	1886
381	6054	1870
382	6070	1854
383	6086	1838
384	6102	1822
385	6118	1806
386	6134	1791
387	6149	1775
388	6165	1759
389	6181	1743
390	6197	1727
391	6213	1711
392	6229	1696
393	6245	1680
394	6261	1664
395	6277	1648
396	6293	1632
397	6310	1617
398	6326	1601
399	6342	1585
400	6358	1569
401	6374	1553
402	6390	1538
403	6406	1522
404	6422	1506
405	6438	1490
406	6454	1474
407	6470	1459
408	6486	1443
409	6502	1427
410	6518	1411
411	6533	1395
412	6550	1379
413	6557	1362
414	6573	1346
415	6589	1330
416	6605	1314
417	6621	1298
418	6637	1283
419	6653	1267
420	6669	1251
421	6684	1235
422	6700	1219
423	6716	1203
424	6733	1188
425	6749	1172
426	6764	1156
427	6780	1140
428	6796	1124
429	6812	1109
430	6828	1093
431	6843	1077
432	6859	1061
433	6875	1045
434	6891	1029
435	6907	1013
436	6923	998
437	6939	982
438	6955	966
439	6972	950
440	6988	934
441	7004	919
442	7021	903
443	7037	887
444	7054	871
445	7070	856
446	7086	840
447	7102	824
448	7118	808
449	7133	792
450	7149	776
451	7165	760
452	7181	745
453	7197	729
454	7214	713
455	7230	697
456	7246	681
457	7262	665
458	7278	650
459	7294	634
460	7311	618
461	7327	602
462	7343	586
463	7360	571
464	7376	555
465	7392	539
466	7408	523
467	7425	507
468	7440	491
469	7457	475
470	7473	460
471	7489	444
472	7504	428
473	7520	412
474	7536	396
475	7552	380
476	7568	364
477	7578	348
478	7584	332
479	7601	316
480	7616	300
481	7632	285
482	7648	269
483	7663	253
484	7679	237
485	7695	221
486	7711	205
487	7727	190
488	7743	174
489	7760	158
490	7776	142
491	7792	126
492	7808	110
493	7824	95
494	7841	79
495	7857	63
496	7873	47
497	7889	31
498	7905	15
499	7921	0
