,,,,f1,f1,auc_roc,auc_roc,disparate_impact,disparate_impact,statistical_parity_difference,statistical_parity_difference
,,,,mean,std,mean,std,mean,std,mean,std
scenario,mitigator,generator,model,,,,,,,,
S1,None,Baseline,CatBoost,0.6355,0.0104,0.7286,0.0109,1.9794,0.1649,0.2599,0.026
S1,None,Baseline,LogisticRegression,0.6365,0.0127,0.7259,0.0117,2.1773,0.1048,0.294,0.0172
S1,None,Baseline,SVM,0.6206,0.0122,0.7211,0.0114,2.6458,0.4031,0.3301,0.0363
S2,DIRemover,Baseline,CatBoost,0.6109,0.0263,0.7278,0.013,1.6785,0.2699,0.1773,0.0577
S2,DIRemover,Baseline,LogisticRegression,0.6098,0.0277,0.722,0.0128,2.0382,0.2394,0.2438,0.044
S2,DIRemover,Baseline,SVM,0.5948,0.0236,0.719,0.0126,2.2684,0.3511,0.2586,0.0452
S2,LFR,Baseline,CatBoost,0.5907,0.0411,0.6739,0.0414,1.3815,0.1888,0.123,0.0408
S2,LFR,Baseline,LogisticRegression,0.3741,0.2077,0.6522,0.05,1.0652,0.3508,0.0048,0.0461
S2,LFR,Baseline,SVM,0.4327,0.2001,0.6571,0.0536,1.3094,0.2363,0.0649,0.0503
S2,Reweighing,Baseline,CatBoost,0.6291,0.0106,0.7207,0.0115,1.2378,0.0436,0.0873,0.0133
S2,Reweighing,Baseline,LogisticRegression,0.6142,0.0095,0.7156,0.0141,1.0604,0.0354,0.0237,0.0134
S2,Reweighing,Baseline,SVM,0.6113,0.0133,0.7196,0.013,1.3717,0.081,0.1201,0.0255
S3_1.5,None,CTGAN,CatBoost,0.6354,0.0183,0.7236,0.0101,2.2174,0.2181,0.2964,0.0299
S3_1.5,None,CTGAN,LogisticRegression,0.616,0.0298,0.7153,0.0118,3.3584,0.724,0.3762,0.0372
S3_1.5,None,CTGAN,SVM,0.6143,0.0258,0.7161,0.0113,2.9427,0.6495,0.345,0.0353
S3_1.5,None,GaussianCopula,CatBoost,0.6349,0.0158,0.7271,0.0123,2.0932,0.2386,0.2692,0.0346
S3_1.5,None,GaussianCopula,LogisticRegression,0.6103,0.0295,0.7217,0.0157,2.7251,0.5274,0.3198,0.0404
S3_1.5,None,GaussianCopula,SVM,0.6108,0.0184,0.7181,0.0142,2.7826,0.5043,0.3311,0.0309
S3_1.5,None,TVAE,CatBoost,0.6398,0.0131,0.7284,0.0114,2.029,0.2397,0.2663,0.0336
S3_1.5,None,TVAE,LogisticRegression,0.6386,0.0168,0.7243,0.0121,2.2688,0.375,0.3071,0.05
S3_1.5,None,TVAE,SVM,0.6181,0.0142,0.717,0.0104,2.7427,0.4427,0.3376,0.0361
S3_1.5,None,TabDDPM,CatBoost,0.634,0.0083,0.7289,0.0113,2.0288,0.1365,0.2625,0.0158
S3_1.5,None,TabDDPM,LogisticRegression,0.6226,0.0275,0.7159,0.0303,2.8263,1.2406,0.3369,0.0785
S3_1.5,None,TabDDPM,SVM,0.5975,0.0147,0.7203,0.0129,2.5752,0.513,0.2969,0.0494
S3_2.0,None,CTGAN,CatBoost,0.6359,0.0203,0.7156,0.0092,2.1363,0.3458,0.2925,0.0444
S3_2.0,None,CTGAN,LogisticRegression,0.6098,0.0323,0.7021,0.0097,3.1831,0.7974,0.3936,0.069
S3_2.0,None,CTGAN,SVM,0.6139,0.028,0.7115,0.0092,2.6391,0.5501,0.3281,0.0779
S3_2.0,None,GaussianCopula,CatBoost,0.6276,0.0269,0.7283,0.0119,2.1561,0.2684,0.2701,0.0348
S3_2.0,None,GaussianCopula,LogisticRegression,0.6031,0.0465,0.7215,0.0163,2.8681,0.6169,0.3201,0.0564
S3_2.0,None,GaussianCopula,SVM,0.6053,0.0279,0.7178,0.0162,2.8596,0.5823,0.3297,0.0386
S3_2.0,None,TVAE,CatBoost,0.6374,0.0079,0.7281,0.0108,2.043,0.2508,0.2743,0.0388
S3_2.0,None,TVAE,LogisticRegression,0.642,0.0153,0.7246,0.0126,2.1369,0.3099,0.2943,0.0481
S3_2.0,None,TVAE,SVM,0.6242,0.0147,0.7161,0.0119,2.5987,0.4275,0.3289,0.0327
S3_2.0,None,TabDDPM,CatBoost,0.6354,0.0113,0.7295,0.0123,2.0652,0.3179,0.2659,0.0479
S3_2.0,None,TabDDPM,LogisticRegression,0.6204,0.0236,0.716,0.0172,3.692,2.5561,0.3709,0.0747
S3_2.0,None,TabDDPM,SVM,0.5937,0.0138,0.7175,0.0122,2.624,0.7255,0.2938,0.0315
S3_3.0,None,CTGAN,CatBoost,0.6156,0.0358,0.708,0.0131,2.4554,0.8089,0.3088,0.0703
S3_3.0,None,CTGAN,LogisticRegression,0.5894,0.0561,0.6888,0.015,3.6489,1.7741,0.3894,0.0832
S3_3.0,None,CTGAN,SVM,0.5947,0.0572,0.7016,0.0161,3.7013,2.3976,0.3784,0.0991
S3_3.0,None,GaussianCopula,CatBoost,0.6183,0.0417,0.7294,0.0126,2.1899,0.3181,0.2672,0.0431
S3_3.0,None,GaussianCopula,LogisticRegression,0.5895,0.0631,0.7221,0.0165,2.9999,0.9978,0.3097,0.0829
S3_3.0,None,GaussianCopula,SVM,0.5991,0.0473,0.7163,0.0163,2.9096,0.8118,0.3168,0.044
S3_3.0,None,TVAE,CatBoost,0.6459,0.0169,0.7286,0.0113,2.0078,0.1968,0.2766,0.0371
S3_3.0,None,TVAE,LogisticRegression,0.6467,0.0155,0.7238,0.0135,2.0339,0.2725,0.286,0.0452
S3_3.0,None,TVAE,SVM,0.6287,0.0193,0.714,0.0128,2.4414,0.403,0.3229,0.042
S3_3.0,None,TabDDPM,CatBoost,0.6381,0.01,0.7295,0.0109,2.0948,0.203,0.2746,0.0323
S3_3.0,None,TabDDPM,LogisticRegression,0.614,0.0124,0.7058,0.0161,4.1409,2.8874,0.4139,0.1193
S3_3.0,None,TabDDPM,SVM,0.601,0.014,0.7163,0.0122,2.6459,0.5042,0.3133,0.0377
S4,None,CTGAN,CatBoost,0.6462,0.0072,0.7256,0.0112,1.55,0.1489,0.1848,0.031
S4,None,CTGAN,LogisticRegression,0.6225,0.0213,0.7121,0.0182,1.2369,0.0987,0.0874,0.0316
S4,None,CTGAN,SVM,0.6324,0.0158,0.716,0.0143,1.8292,0.3551,0.2331,0.0573
S4,None,GaussianCopula,CatBoost,0.6407,0.012,0.7207,0.0109,1.3408,0.1363,0.1234,0.0319
S4,None,GaussianCopula,LogisticRegression,0.6354,0.0145,0.7112,0.0195,1.1216,0.0881,0.0502,0.0358
S4,None,GaussianCopula,SVM,0.6366,0.0131,0.7113,0.0138,1.3634,0.2218,0.1297,0.0687
S4,None,TVAE,CatBoost,0.6425,0.0163,0.7144,0.0173,1.1067,0.0749,0.0463,0.0332
S4,None,TVAE,LogisticRegression,0.6394,0.0151,0.708,0.0192,1.0517,0.0348,0.0244,0.0167
S4,None,TVAE,SVM,0.6232,0.0305,0.6928,0.0231,1.1507,0.0832,0.0644,0.0353
S4,None,TabDDPM,CatBoost,0.6418,0.0127,0.7264,0.0126,1.5288,0.1481,0.1737,0.0339
S4,None,TabDDPM,LogisticRegression,0.6284,0.0202,0.7046,0.0181,1.4428,0.1752,0.1601,0.0513
S4,None,TabDDPM,SVM,0.6244,0.0168,0.7196,0.0133,1.6876,0.1487,0.2053,0.0254
S5,None,CTGAN,CatBoost,0.6431,0.0129,0.7273,0.0127,1.6925,0.1467,0.2169,0.029
S5,None,CTGAN,LogisticRegression,0.6413,0.0192,0.7134,0.0166,1.2927,0.0911,0.1174,0.0316
S5,None,CTGAN,SVM,0.6421,0.015,0.7197,0.0134,1.6904,0.1685,0.2214,0.0348
S5,None,GaussianCopula,CatBoost,0.6486,0.009,0.7263,0.0111,1.4891,0.1721,0.1725,0.036
S5,None,GaussianCopula,LogisticRegression,0.655,0.0124,0.7199,0.0147,1.2095,0.0716,0.0919,0.0272
S5,None,GaussianCopula,SVM,0.6495,0.0123,0.7191,0.0124,1.4572,0.1342,0.1709,0.0365
S5,None,TVAE,CatBoost,0.6455,0.0128,0.7193,0.0156,1.2968,0.1042,0.1197,0.0341
