,,,,f1,f1,auc_roc,auc_roc,disparate_impact,disparate_impact,statistical_parity_difference,statistical_parity_difference
,,,,mean,std,mean,std,mean,std,mean,std
scenario,mitigator,generator,model,,,,,,,,
S1,None,Baseline,CatBoost,0.6128,0.0548,0.8788,0.0193,0.1957,0.0622,-0.1957,0.0403
S1,None,Baseline,LogisticRegression,0.6239,0.0546,0.8845,0.0162,0.2131,0.1007,-0.1938,0.0346
S1,None,Baseline,SVM,0.5618,0.0475,0.8539,0.0219,0.1776,0.0682,-0.1823,0.0244
S2,DIRemover,Baseline,CatBoost,0.5536,0.0718,0.8687,0.0164,0.2585,0.0734,-0.1459,0.0345
S2,DIRemover,Baseline,LogisticRegression,0.6028,0.062,0.8795,0.0183,0.2205,0.069,-0.1725,0.0297
S2,DIRemover,Baseline,SVM,0.5963,0.059,0.8544,0.0224,0.2259,0.0658,-0.1725,0.0222
S2,LFR,Baseline,CatBoost,0.2507,0.1312,0.5746,0.0405,0.2259,0.1621,-0.0348,0.0195
S2,LFR,Baseline,LogisticRegression,0.2443,0.1294,0.5776,0.0397,0.2148,0.1623,-0.0344,0.0194
S2,LFR,Baseline,SVM,0.2507,0.1312,0.574,0.0402,0.2259,0.1621,-0.0348,0.0195
S2,Reweighing,Baseline,CatBoost,0.5848,0.0478,0.8731,0.019,0.402,0.1254,-0.1207,0.0357
S2,Reweighing,Baseline,LogisticRegression,0.5924,0.0228,0.8724,0.0166,0.5532,0.1474,-0.0884,0.0334
S2,Reweighing,Baseline,SVM,0.5165,0.0271,0.8398,0.018,0.5724,0.1988,-0.0772,0.0393
S3_1.5,None,CTGAN,CatBoost,0.5963,0.052,0.8776,0.0194,0.2238,0.1005,-0.1717,0.036
S3_1.5,None,CTGAN,LogisticRegression,0.5822,0.0486,0.8805,0.0188,0.2456,0.0936,-0.1627,0.0301
S3_1.5,None,CTGAN,SVM,0.5187,0.0476,0.8389,0.0302,0.1616,0.0675,-0.1598,0.0357
S3_1.5,None,GaussianCopula,CatBoost,0.6021,0.0604,0.8823,0.0203,0.2004,0.0853,-0.18,0.0344
S3_1.5,None,GaussianCopula,LogisticRegression,0.5508,0.0504,0.8736,0.0167,0.1817,0.0969,-0.1688,0.031
S3_1.5,None,GaussianCopula,SVM,0.5302,0.0513,0.8408,0.0215,0.1464,0.0873,-0.1748,0.0338
S3_1.5,None,TVAE,CatBoost,0.6126,0.0598,0.8849,0.0206,0.2269,0.0913,-0.1946,0.0417
S3_1.5,None,TVAE,LogisticRegression,0.6355,0.056,0.8856,0.0163,0.2,0.0978,-0.2118,0.0311
S3_1.5,None,TVAE,SVM,0.5392,0.0436,0.8473,0.0233,0.1834,0.0684,-0.1778,0.0299
S3_1.5,None,TabDDPM,CatBoost,0.619,0.0539,0.8904,0.0163,0.1918,0.0748,-0.1931,0.0354
S3_1.5,None,TabDDPM,LogisticRegression,0.5073,0.0326,0.8517,0.0168,0.1922,0.0833,-0.162,0.0358
S3_1.5,None,TabDDPM,SVM,0.5648,0.0449,0.8584,0.0155,0.1897,0.0804,-0.1819,0.0252
S3_2.0,None,CTGAN,CatBoost,0.5885,0.0606,0.8768,0.0242,0.2517,0.0656,-0.15,0.0258
S3_2.0,None,CTGAN,LogisticRegression,0.5317,0.0538,0.8722,0.0233,0.2643,0.0893,-0.1343,0.0291
S3_2.0,None,CTGAN,SVM,0.4687,0.064,0.8237,0.026,0.1584,0.0575,-0.1336,0.0327
S3_2.0,None,GaussianCopula,CatBoost,0.5958,0.055,0.8856,0.0193,0.1777,0.0658,-0.1841,0.0338
S3_2.0,None,GaussianCopula,LogisticRegression,0.5163,0.0451,0.8726,0.0153,0.1727,0.076,-0.149,0.0259
S3_2.0,None,GaussianCopula,SVM,0.5153,0.0528,0.8398,0.0224,0.1382,0.0492,-0.1669,0.0224
S3_2.0,None,TVAE,CatBoost,0.607,0.0541,0.8847,0.0182,0.2306,0.0832,-0.1919,0.0409
S3_2.0,None,TVAE,LogisticRegression,0.6326,0.0507,0.8842,0.0135,0.1996,0.0877,-0.2167,0.0356
S3_2.0,None,TVAE,SVM,0.5269,0.0476,0.8377,0.0252,0.1923,0.0498,-0.1744,0.0297
S3_2.0,None,TabDDPM,CatBoost,0.6166,0.0498,0.894,0.0181,0.199,0.0627,-0.1875,0.026
S3_2.0,None,TabDDPM,LogisticRegression,0.4424,0.0728,0.8356,0.0163,0.1688,0.1125,-0.1291,0.0413
S3_2.0,None,TabDDPM,SVM,0.5696,0.0434,0.8603,0.0168,0.1859,0.0995,-0.1819,0.0308
S3_3.0,None,CTGAN,CatBoost,0.5486,0.0498,0.8804,0.0147,0.2445,0.2139,-0.1317,0.0448
S3_3.0,None,CTGAN,LogisticRegression,0.4265,0.0821,0.8692,0.0096,0.1715,0.1478,-0.107,0.0392
S3_3.0,None,CTGAN,SVM,0.4182,0.1041,0.8144,0.0311,0.1912,0.2244,-0.0935,0.0416
S3_3.0,None,GaussianCopula,CatBoost,0.5756,0.0461,0.8831,0.0181,0.2039,0.0963,-0.1673,0.0376
S3_3.0,None,GaussianCopula,LogisticRegression,0.4644,0.0554,0.8716,0.0162,0.1904,0.0809,-0.1205,0.032
S3_3.0,None,GaussianCopula,SVM,0.4992,0.0467,0.8394,0.0242,0.1559,0.0726,-0.149,0.0312
S3_3.0,None,TVAE,CatBoost,0.6162,0.0459,0.8853,0.0181,0.2088,0.0961,-0.2084,0.039
S3_3.0,None,TVAE,LogisticRegression,0.628,0.0544,0.8829,0.0134,0.1994,0.0913,-0.2219,0.0349
S3_3.0,None,TVAE,SVM,0.5075,0.0613,0.8216,0.0258,0.162,0.0614,-0.1763,0.0267
S3_3.0,None,TabDDPM,CatBoost,0.6127,0.0471,0.893,0.015,0.1926,0.0937,-0.1897,0.0365
S3_3.0,None,TabDDPM,LogisticRegression,0.3598,0.0775,0.822,0.023,0.1369,0.1348,-0.1183,0.0543
S3_3.0,None,TabDDPM,SVM,0.5601,0.047,0.8568,0.015,0.1888,0.0725,-0.1811,0.0282
S4,None,CTGAN,CatBoost,0.6188,0.0437,0.8731,0.0214,0.2376,0.1059,-0.2013,0.0376
S4,None,CTGAN,LogisticRegression,0.5831,0.0463,0.8338,0.0289,0.4454,0.1377,-0.2281,0.0507
S4,None,CTGAN,SVM,0.5733,0.038,0.8144,0.0312,0.3905,0.0701,-0.21,0.0296
S4,None,GaussianCopula,CatBoost,0.6036,0.0612,0.8835,0.0206,0.1746,0.0748,-0.1998,0.0383
S4,None,GaussianCopula,LogisticRegression,0.5394,0.0426,0.8532,0.0173,0.1724,0.1056,-0.2051,0.0467
S4,None,GaussianCopula,SVM,0.5658,0.0539,0.8262,0.0234,0.2978,0.1644,-0.1874,0.0542
S4,None,TVAE,CatBoost,0.624,0.0432,0.8773,0.0191,0.2866,0.0861,-0.2042,0.0377
S4,None,TVAE,LogisticRegression,0.6182,0.0538,0.8684,0.0152,0.3209,0.1249,-0.1974,0.0424
S4,None,TVAE,SVM,0.5328,0.0561,0.8332,0.0233,0.236,0.0803,-0.1807,0.0381
S4,None,TabDDPM,CatBoost,0.5996,0.0553,0.8805,0.0191,0.2123,0.0876,-0.1908,0.0371
S4,None,TabDDPM,LogisticRegression,0.6221,0.057,0.853,0.0215,0.3451,0.0835,-0.1962,0.0321
S4,None,TabDDPM,SVM,0.5822,0.0403,0.8447,0.0174,0.3277,0.1067,-0.1686,0.041
S5,None,CTGAN,CatBoost,0.6134,0.0688,0.8782,0.019,0.2729,0.0979,-0.1777,0.0389
S5,None,CTGAN,LogisticRegression,0.5772,0.0459,0.84,0.0148,0.6173,0.1769,-0.1039,0.0523
S5,None,CTGAN,SVM,0.5867,0.0527,0.8253,0.0301,0.4045,0.1016,-0.1599,0.0351
S5,None,GaussianCopula,CatBoost,0.6077,0.0567,0.8764,0.0233,0.2302,0.0733,-0.1916,0.0417
S5,None,GaussianCopula,LogisticRegression,0.6111,0.0626,0.8715,0.0243,0.2802,0.1198,-0.1859,0.0396
S5,None,GaussianCopula,SVM,0.5589,0.0523,0.8288,0.0273,0.3091,0.1193,-0.1679,0.0375
