,,,,f1,f1,auc_roc,auc_roc,disparate_impact,disparate_impact,statistical_parity_difference,statistical_parity_difference
,,,,mean,std,mean,std,mean,std,mean,std
scenario,mitigator,generator,model,,,,,,,,
S1,None,Baseline,CatBoost,0.636,0.0101,0.7287,0.011,1.9765,0.166,0.2596,0.0263
S1,None,Baseline,LogisticRegression,0.6365,0.0127,0.7259,0.0117,2.1773,0.1048,0.294,0.0172
S1,None,Baseline,SVM,0.6206,0.0122,0.7211,0.0114,2.6458,0.4031,0.3301,0.0363
S2,DIRemover,Baseline,CatBoost,0.6113,0.0264,0.7278,0.013,1.6808,0.2711,0.1777,0.058
S2,DIRemover,Baseline,LogisticRegression,0.6098,0.0277,0.722,0.0128,2.0382,0.2394,0.2438,0.044
S2,DIRemover,Baseline,SVM,0.5948,0.0236,0.719,0.0126,2.2684,0.3511,0.2586,0.0452
S2,LFR,Baseline,CatBoost,0.5967,0.0388,0.6782,0.0412,1.3694,0.1996,0.1187,0.0457
S2,LFR,Baseline,LogisticRegression,0.397,0.2088,0.656,0.0486,1.0794,0.3338,0.0112,0.0479
S2,LFR,Baseline,SVM,0.4502,0.1965,0.6622,0.0531,1.3026,0.2238,0.0665,0.0477
S2,Reweighing,Baseline,CatBoost,0.6296,0.0116,0.7207,0.0116,1.2431,0.0424,0.0893,0.0137
S2,Reweighing,Baseline,LogisticRegression,0.6142,0.0095,0.7156,0.0141,1.0604,0.0354,0.0237,0.0134
S2,Reweighing,Baseline,SVM,0.6113,0.0133,0.7196,0.013,1.3717,0.081,0.1201,0.0255
S3_1.5,None,CTGAN,CatBoost,0.6351,0.0209,0.723,0.0109,2.0756,0.2638,0.2779,0.0432
S3_1.5,None,CTGAN,LogisticRegression,0.6153,0.0316,0.7162,0.0117,3.1506,0.6042,0.3753,0.0616
S3_1.5,None,CTGAN,SVM,0.6117,0.0325,0.7166,0.0147,2.7102,0.5529,0.325,0.0462
S3_1.5,None,GaussianCopula,CatBoost,0.637,0.0145,0.7273,0.0124,2.0981,0.2386,0.2714,0.0319
S3_1.5,None,GaussianCopula,LogisticRegression,0.6103,0.0295,0.7217,0.0157,2.7251,0.5274,0.3198,0.0404
S3_1.5,None,GaussianCopula,SVM,0.6108,0.0184,0.7181,0.0142,2.7826,0.5043,0.3311,0.0309
S3_1.5,None,TVAE,CatBoost,0.6402,0.0135,0.7291,0.0119,2.0318,0.228,0.2724,0.0318
S3_1.5,None,TVAE,LogisticRegression,0.6381,0.0129,0.7241,0.0128,2.294,0.4545,0.3087,0.0513
S3_1.5,None,TVAE,SVM,0.6236,0.016,0.7181,0.0117,2.6021,0.5378,0.3241,0.0494
S3_1.5,None,TabDDPM,CatBoost,0.6417,0.0104,0.7296,0.0114,1.9635,0.1052,0.2653,0.0239
S3_1.5,None,TabDDPM,LogisticRegression,0.641,0.0182,0.7234,0.014,2.4429,0.5313,0.3269,0.0594
S3_1.5,None,TabDDPM,SVM,0.6166,0.0165,0.7172,0.0131,2.3583,0.2825,0.3006,0.0341
S3_2.0,None,CTGAN,CatBoost,0.6198,0.0201,0.7157,0.011,2.2389,0.5918,0.2863,0.039
S3_2.0,None,CTGAN,LogisticRegression,0.5966,0.0408,0.7021,0.0116,3.7731,1.7582,0.3951,0.0821
S3_2.0,None,CTGAN,SVM,0.6051,0.0377,0.7115,0.0142,2.8792,1.0143,0.3255,0.0695
S3_2.0,None,GaussianCopula,CatBoost,0.6286,0.0264,0.7285,0.012,2.1733,0.2653,0.2729,0.0354
S3_2.0,None,GaussianCopula,LogisticRegression,0.6031,0.0465,0.7215,0.0163,2.8681,0.6169,0.3201,0.0564
S3_2.0,None,GaussianCopula,SVM,0.6053,0.0279,0.7178,0.0162,2.8596,0.5823,0.3297,0.0386
S3_2.0,None,TVAE,CatBoost,0.638,0.0176,0.7271,0.0134,1.8546,0.3285,0.2363,0.058
S3_2.0,None,TVAE,LogisticRegression,0.6378,0.0186,0.7238,0.0144,2.0766,0.474,0.2744,0.0661
S3_2.0,None,TVAE,SVM,0.6166,0.0214,0.7156,0.0155,2.3839,0.5202,0.2944,0.0449
S3_2.0,None,TabDDPM,CatBoost,0.6367,0.017,0.729,0.0102,1.9954,0.1782,0.2574,0.0192
S3_2.0,None,TabDDPM,LogisticRegression,0.6282,0.0284,0.7222,0.0144,2.4602,0.7459,0.3078,0.0549
S3_2.0,None,TabDDPM,SVM,0.6054,0.0244,0.7167,0.009,2.2303,0.294,0.275,0.0406
S3_3.0,None,CTGAN,CatBoost,0.6151,0.0302,0.7068,0.0101,2.2738,0.4077,0.295,0.0451
S3_3.0,None,CTGAN,LogisticRegression,0.5849,0.0572,0.6914,0.0119,3.7363,1.4206,0.3939,0.0761
S3_3.0,None,CTGAN,SVM,0.5925,0.0477,0.6996,0.0142,2.9204,0.8887,0.346,0.1035
S3_3.0,None,GaussianCopula,CatBoost,0.6178,0.0406,0.7295,0.0126,2.1957,0.3044,0.2685,0.0431
S3_3.0,None,GaussianCopula,LogisticRegression,0.5895,0.0631,0.7221,0.0165,2.9999,0.9978,0.3097,0.0829
S3_3.0,None,GaussianCopula,SVM,0.5991,0.0473,0.7163,0.0163,2.9096,0.8118,0.3168,0.044
S3_3.0,None,TVAE,CatBoost,0.6432,0.0128,0.7241,0.0117,2.1375,0.4529,0.2871,0.0762
S3_3.0,None,TVAE,LogisticRegression,0.6382,0.0146,0.7221,0.0128,2.5083,0.8373,0.3242,0.1052
S3_3.0,None,TVAE,SVM,0.6167,0.0162,0.7111,0.0156,2.9315,1.0283,0.3392,0.0794
S3_3.0,None,TabDDPM,CatBoost,0.6294,0.0212,0.7293,0.0125,2.1746,0.2118,0.2733,0.0174
S3_3.0,None,TabDDPM,LogisticRegression,0.6188,0.0273,0.7199,0.0147,3.3309,2.2384,0.346,0.0722
S3_3.0,None,TabDDPM,SVM,0.5939,0.0301,0.7157,0.0149,2.7634,0.442,0.3153,0.0448
S4,None,CTGAN,CatBoost,0.6407,0.0103,0.7237,0.0116,1.4744,0.1051,0.1622,0.0246
S4,None,CTGAN,LogisticRegression,0.6267,0.0124,0.7174,0.0157,1.2307,0.0976,0.0856,0.0317
S4,None,CTGAN,SVM,0.6379,0.0136,0.7206,0.0135,1.7817,0.1429,0.232,0.0284
S4,None,GaussianCopula,CatBoost,0.644,0.0113,0.7247,0.0118,1.3777,0.1393,0.1392,0.0385
S4,None,GaussianCopula,LogisticRegression,0.6291,0.0134,0.7151,0.018,1.1513,0.1828,0.0529,0.0687
S4,None,GaussianCopula,SVM,0.6347,0.0141,0.7115,0.0173,1.5041,0.3082,0.1615,0.0916
S4,None,TVAE,CatBoost,0.649,0.0119,0.7213,0.0111,1.2307,0.0778,0.0944,0.0249
S4,None,TVAE,LogisticRegression,0.6397,0.0138,0.7141,0.0148,1.0736,0.0432,0.0327,0.0168
S4,None,TVAE,SVM,0.6434,0.0159,0.7113,0.0165,1.3044,0.1471,0.1181,0.0519
S4,None,TabDDPM,CatBoost,0.6423,0.0155,0.7221,0.0144,1.3147,0.1428,0.1189,0.0476
S4,None,TabDDPM,LogisticRegression,0.6343,0.0103,0.7135,0.0136,1.1826,0.1223,0.0736,0.0448
S4,None,TabDDPM,SVM,0.6311,0.0158,0.713,0.0162,1.4686,0.2278,0.1593,0.0636
S5,None,CTGAN,CatBoost,0.6465,0.0093,0.726,0.0121,1.5344,0.0979,0.1854,0.026
S5,None,CTGAN,LogisticRegression,0.6442,0.0116,0.7199,0.0156,1.3185,0.0642,0.1265,0.02
S5,None,CTGAN,SVM,0.6433,0.0144,0.7192,0.0139,1.624,0.0948,0.2105,0.0217
S5,None,GaussianCopula,CatBoost,0.6485,0.0134,0.7251,0.0122,1.5676,0.1124,0.1917,0.0284
S5,None,GaussianCopula,LogisticRegression,0.6497,0.0138,0.7188,0.0149,1.2595,0.1759,0.1037,0.0636
S5,None,GaussianCopula,SVM,0.6444,0.0171,0.7158,0.0161,1.4613,0.2622,0.1635,0.0767
S5,None,TVAE,CatBoost,0.6552,0.0116,0.7244,0.0112,1.3184,0.0509,0.1299,0.0181
