,,,,f1,f1,auc_roc,auc_roc,disparate_impact,disparate_impact,statistical_parity_difference,statistical_parity_difference
,,,,mean,std,mean,std,mean,std,mean,std
scenario,mitigator,generator,model,,,,,,,,
S1,None,Baseline,CatBoost,0.5632,0.0122,0.6813,0.0082,0.9056,0.0742,-0.0363,0.0281
S1,None,Baseline,LogisticRegression,0.4938,0.0137,0.6429,0.0125,0.8386,0.0879,-0.0511,0.0285
S1,None,Baseline,SVM,0.5131,0.0137,0.6525,0.0086,0.872,0.0914,-0.0421,0.0305
S2,DIRemover,Baseline,CatBoost,0.5375,0.0302,0.6678,0.0104,1.0361,0.1804,0.005,0.0562
S2,DIRemover,Baseline,LogisticRegression,0.517,0.0397,0.6349,0.0114,0.7497,0.1749,-0.1084,0.0885
S2,DIRemover,Baseline,SVM,0.506,0.0288,0.6453,0.0104,0.9913,0.1775,-0.0085,0.0521
S2,LFR,Baseline,CatBoost,0.3302,0.1675,0.5468,0.0294,1.0523,0.2309,-0.0079,0.0381
S2,LFR,Baseline,LogisticRegression,0.1695,0.1665,0.5327,0.0237,1.8581,2.4698,0.003,0.0178
S2,LFR,Baseline,SVM,0.211,0.1551,0.5411,0.0366,2.0975,2.4172,0.001,0.0325
S2,Reweighing,Baseline,CatBoost,0.5617,0.0119,0.6815,0.0078,0.9264,0.0713,-0.0282,0.0261
S2,Reweighing,Baseline,LogisticRegression,0.492,0.0145,0.6428,0.0123,0.9466,0.0988,-0.0166,0.0306
S2,Reweighing,Baseline,SVM,0.512,0.0144,0.6525,0.0086,0.938,0.0924,-0.0203,0.0299
S3_1.5,None,CTGAN,CatBoost,0.5451,0.0575,0.6769,0.0077,0.8827,0.104,-0.0424,0.0334
S3_1.5,None,CTGAN,LogisticRegression,0.4825,0.1016,0.6334,0.0162,0.86,0.131,-0.0517,0.0557
S3_1.5,None,CTGAN,SVM,0.4841,0.0979,0.646,0.0081,0.8632,0.1217,-0.0383,0.0372
S3_1.5,None,GaussianCopula,CatBoost,0.5429,0.0131,0.6783,0.007,0.8993,0.0448,-0.0349,0.0148
S3_1.5,None,GaussianCopula,LogisticRegression,0.4707,0.024,0.6388,0.0144,0.8513,0.1043,-0.0431,0.0325
S3_1.5,None,GaussianCopula,SVM,0.4901,0.0252,0.6475,0.0129,0.8634,0.095,-0.0406,0.0284
S3_1.5,None,TVAE,CatBoost,0.5803,0.0112,0.6749,0.0073,0.8667,0.0866,-0.0587,0.0382
S3_1.5,None,TVAE,LogisticRegression,0.521,0.0162,0.6325,0.0121,0.8079,0.0766,-0.0752,0.0318
S3_1.5,None,TVAE,SVM,0.5332,0.0119,0.6435,0.0091,0.7853,0.0831,-0.0831,0.034
S3_1.5,None,TabDDPM,CatBoost,0.5615,0.0114,0.6818,0.0054,0.8907,0.0668,-0.0416,0.0255
S3_1.5,None,TabDDPM,LogisticRegression,0.4701,0.0268,0.599,0.022,0.7865,0.1692,-0.0718,0.0566
S3_1.5,None,TabDDPM,SVM,0.4565,0.0158,0.6343,0.0091,0.6706,0.0667,-0.0968,0.0233
S3_2.0,None,CTGAN,CatBoost,0.5469,0.065,0.6703,0.0056,0.8345,0.132,-0.0637,0.0522
S3_2.0,None,CTGAN,LogisticRegression,0.4776,0.1285,0.6266,0.0144,0.7912,0.2436,-0.0667,0.0856
S3_2.0,None,CTGAN,SVM,0.4785,0.1323,0.6424,0.0083,0.829,0.1341,-0.0515,0.0468
S3_2.0,None,GaussianCopula,CatBoost,0.5354,0.0156,0.6768,0.0069,0.9241,0.0631,-0.0255,0.0207
S3_2.0,None,GaussianCopula,LogisticRegression,0.4611,0.0348,0.6383,0.0154,0.8237,0.1204,-0.049,0.0345
S3_2.0,None,GaussianCopula,SVM,0.4795,0.0327,0.6448,0.0146,0.8901,0.1178,-0.0316,0.0345
S3_2.0,None,TVAE,CatBoost,0.5754,0.0153,0.666,0.0113,0.8472,0.1072,-0.0689,0.0474
S3_2.0,None,TVAE,LogisticRegression,0.5155,0.0214,0.6231,0.0178,0.8622,0.1541,-0.0567,0.0587
S3_2.0,None,TVAE,SVM,0.5331,0.0127,0.6393,0.0116,0.8072,0.0992,-0.0761,0.04
S3_2.0,None,TabDDPM,CatBoost,0.559,0.0104,0.6814,0.0067,0.874,0.0738,-0.0474,0.0275
S3_2.0,None,TabDDPM,LogisticRegression,0.4549,0.0318,0.5784,0.0306,0.7633,0.2407,-0.0919,0.1049
S3_2.0,None,TabDDPM,SVM,0.446,0.0183,0.6325,0.0086,0.6658,0.095,-0.096,0.0305
S3_3.0,None,CTGAN,CatBoost,0.4921,0.1118,0.6569,0.0079,0.9615,0.1759,-0.0338,0.0873
S3_3.0,None,CTGAN,LogisticRegression,0.4211,0.1787,0.6127,0.012,0.9954,0.3576,-0.0367,0.1333
S3_3.0,None,CTGAN,SVM,0.4292,0.171,0.629,0.0127,0.9752,0.2475,-0.0316,0.0782
S3_3.0,None,GaussianCopula,CatBoost,0.5366,0.0134,0.6772,0.007,0.9193,0.0802,-0.027,0.0262
S3_3.0,None,GaussianCopula,LogisticRegression,0.444,0.0492,0.6377,0.0168,0.8301,0.0891,-0.0424,0.0219
S3_3.0,None,GaussianCopula,SVM,0.4728,0.0366,0.6417,0.0134,0.8595,0.1214,-0.0384,0.0327
S3_3.0,None,TVAE,CatBoost,0.5775,0.01,0.6663,0.0108,0.8706,0.067,-0.0571,0.03
S3_3.0,None,TVAE,LogisticRegression,0.5125,0.0176,0.6187,0.0153,0.8985,0.0805,-0.0399,0.0324
S3_3.0,None,TVAE,SVM,0.5353,0.0138,0.6366,0.011,0.7924,0.0749,-0.0834,0.0324
S3_3.0,None,TabDDPM,CatBoost,0.5561,0.0138,0.6783,0.0095,0.8675,0.0826,-0.0491,0.0297
S3_3.0,None,TabDDPM,LogisticRegression,0.4891,0.03,0.5827,0.0281,0.9171,0.2031,-0.0338,0.0786
S3_3.0,None,TabDDPM,SVM,0.4413,0.0336,0.629,0.0086,0.6505,0.1359,-0.0995,0.0344
S4,None,CTGAN,CatBoost,0.5818,0.0125,0.6787,0.0079,0.7645,0.1102,-0.1056,0.0511
S4,None,CTGAN,LogisticRegression,0.5443,0.0141,0.6346,0.0106,0.6875,0.1275,-0.1384,0.0599
S4,None,CTGAN,SVM,0.5467,0.0149,0.649,0.0095,0.7933,0.1016,-0.0857,0.0452
S4,None,GaussianCopula,CatBoost,0.5548,0.0139,0.6773,0.0107,0.7868,0.0705,-0.0815,0.0284
S4,None,GaussianCopula,LogisticRegression,0.5198,0.0202,0.6381,0.0176,0.5165,0.1678,-0.1875,0.0692
S4,None,GaussianCopula,SVM,0.5215,0.0201,0.6493,0.0099,0.7717,0.1013,-0.0822,0.0379
S4,None,TVAE,CatBoost,0.5959,0.0094,0.6714,0.0098,0.7558,0.0883,-0.1193,0.0447
S4,None,TVAE,LogisticRegression,0.5405,0.0122,0.6191,0.0173,0.6097,0.2949,-0.1793,0.1338
S4,None,TVAE,SVM,0.5453,0.0097,0.6417,0.0084,0.7974,0.0936,-0.084,0.0393
S4,None,TabDDPM,CatBoost,0.578,0.0131,0.676,0.0076,1.0284,0.2265,0.0116,0.0934
S4,None,TabDDPM,LogisticRegression,0.4898,0.0413,0.5374,0.0391,1.0165,0.2033,0.0061,0.0936
S4,None,TabDDPM,SVM,0.5158,0.0291,0.6269,0.0098,1.1012,0.439,0.038,0.1537
S5,None,CTGAN,CatBoost,0.567,0.0107,0.6818,0.0073,1.056,0.07,0.0212,0.0264
S5,None,CTGAN,LogisticRegression,0.4959,0.0159,0.6407,0.0109,1.1788,0.1443,0.0544,0.0434
S5,None,CTGAN,SVM,0.5202,0.0148,0.6493,0.0081,1.0258,0.1379,0.0084,0.0482
S5,None,GaussianCopula,CatBoost,0.5529,0.0171,0.6806,0.0088,0.9017,0.063,-0.0357,0.0228
S5,None,GaussianCopula,LogisticRegression,0.4913,0.0199,0.6418,0.013,0.932,0.1773,-0.0206,0.0551
S5,None,GaussianCopula,SVM,0.5134,0.0184,0.6503,0.0105,0.8956,0.0972,-0.0341,0.0317
