comparison,generator,model,p_f1,p_di
S1→S3 (1.5x),GaussianCopula,LogisticRegression,0.193359375,0.25
S1→S3 (1.5x),CTGAN,LogisticRegression,0.375,0.375
S1→S3 (1.5x),TVAE,LogisticRegression,0.12890625,0.84375
S1→S3 (1.5x),TabDDPM,LogisticRegression,0.10546875,0.84375
S1→S3 (1.5x),GaussianCopula,SVM,1.0,0.8203125
S1→S3 (1.5x),CTGAN,SVM,0.1640625,0.12890625
S1→S3 (1.5x),TVAE,SVM,0.375,1.0
S1→S3 (1.5x),TabDDPM,SVM,0.01953125,0.001953125
S1→S3 (1.5x),GaussianCopula,CatBoost,0.845703125,0.49609375
S1→S3 (1.5x),CTGAN,CatBoost,0.09765625,0.4921875
S1→S3 (1.5x),TVAE,CatBoost,0.921875,0.10546875
S1→S3 (1.5x),TabDDPM,CatBoost,0.845703125,0.01953125
S1→S3 (2.0x),GaussianCopula,LogisticRegression,0.16015625,0.845703125
S1→S3 (2.0x),CTGAN,LogisticRegression,0.845703125,0.10546875
S1→S3 (2.0x),TVAE,LogisticRegression,0.25,0.07421875
S1→S3 (2.0x),TabDDPM,LogisticRegression,0.431640625,0.16015625
S1→S3 (2.0x),GaussianCopula,SVM,0.5703125,1.0
S1→S3 (2.0x),CTGAN,SVM,0.431640625,0.556640625
S1→S3 (2.0x),TVAE,SVM,0.130859375,0.232421875
S1→S3 (2.0x),TabDDPM,SVM,0.00390625,0.001953125
S1→S3 (2.0x),GaussianCopula,CatBoost,0.431640625,0.76953125
S1→S3 (2.0x),CTGAN,CatBoost,0.921875,0.064453125
S1→S3 (2.0x),TVAE,CatBoost,0.556640625,0.25
S1→S3 (2.0x),TabDDPM,CatBoost,0.845703125,0.02734375
S1→S3 (3.0x),GaussianCopula,LogisticRegression,0.921875,1.0
S1→S3 (3.0x),CTGAN,LogisticRegression,0.625,0.10546875
S1→S3 (3.0x),TVAE,LogisticRegression,0.083984375,0.048828125
S1→S3 (3.0x),TabDDPM,LogisticRegression,0.048828125,0.6953125
S1→S3 (3.0x),GaussianCopula,SVM,0.375,0.296875
S1→S3 (3.0x),CTGAN,SVM,0.12890625,0.12890625
S1→S3 (3.0x),TVAE,SVM,0.6953125,0.064453125
S1→S3 (3.0x),TabDDPM,SVM,0.02734375,0.001953125
S1→S3 (3.0x),GaussianCopula,CatBoost,0.232421875,0.91015625
S1→S3 (3.0x),CTGAN,CatBoost,1.0,0.8203125
S1→S3 (3.0x),TVAE,CatBoost,0.4921875,0.12890625
S1→S3 (3.0x),TabDDPM,CatBoost,0.556640625,0.00390625
S1→S4,GaussianCopula,LogisticRegression,0.0078125,0.00390625
S1→S4,CTGAN,LogisticRegression,0.00390625,0.001953125
S1→S4,TabDDPM,LogisticRegression,0.00390625,0.005859375
S1→S4,GaussianCopula,SVM,0.001953125,0.275390625
S1→S4,CTGAN,SVM,0.001953125,0.130859375
S1→S4,TabDDPM,SVM,0.193359375,0.431640625
S1→S4,GaussianCopula,CatBoost,0.0078125,0.5703125
S1→S4,CTGAN,CatBoost,0.0078125,0.625
S1→S4,TabDDPM,CatBoost,0.193359375,0.91015625
S1→S5,GaussianCopula,LogisticRegression,0.021484375,0.01953125
S1→S5,CTGAN,LogisticRegression,0.4140625,0.25
S1→S5,TabDDPM,LogisticRegression,0.0546875,0.013671875
S1→S5,GaussianCopula,SVM,0.1875,0.8203125
S1→S5,CTGAN,SVM,0.232421875,0.4921875
S1→S5,TabDDPM,SVM,0.4609375,0.84375
S1→S5,GaussianCopula,CatBoost,1.0,0.37109375
S1→S5,CTGAN,CatBoost,0.232421875,0.6953125
S1→S5,TabDDPM,CatBoost,0.556640625,0.12109375
S1→S6,GaussianCopula,LogisticRegression,0.0078125,0.001953125
S1→S6,CTGAN,LogisticRegression,0.00390625,0.0390625
S1→S6,TabDDPM,LogisticRegression,0.00390625,0.001953125
S1→S6,GaussianCopula,SVM,0.0546875,0.037109375
S1→S6,CTGAN,SVM,0.001953125,0.048828125
S1→S6,TabDDPM,SVM,0.00390625,0.037109375
S1→S6,GaussianCopula,CatBoost,0.01953125,0.65234375
S1→S6,CTGAN,CatBoost,0.02734375,1.0
S1→S6,TabDDPM,CatBoost,0.052734375,0.62890625
S2Rew→S4,GaussianCopula,LogisticRegression,0.275390625,0.6953125
S2Rew→S4,CTGAN,LogisticRegression,0.048828125,0.275390625
S2Rew→S4,TabDDPM,LogisticRegression,0.037109375,0.12890625
S2Rew→S4,GaussianCopula,SVM,0.001953125,0.4921875
S2Rew→S4,CTGAN,SVM,0.001953125,0.375
S2Rew→S4,TabDDPM,SVM,1.0,0.048828125
S2Rew→S4,GaussianCopula,CatBoost,0.09765625,0.4765625
S2Rew→S4,CTGAN,CatBoost,0.048828125,0.42578125
S2Rew→S4,TabDDPM,CatBoost,0.310546875,0.826171875
S2Rew→S5,GaussianCopula,LogisticRegression,0.359375,0.01953125
S2Rew→S5,CTGAN,LogisticRegression,0.322265625,0.02734375
S2Rew→S5,TabDDPM,LogisticRegression,0.845703125,0.0078125
S2Rew→S5,GaussianCopula,SVM,0.005859375,0.01953125
S2Rew→S5,CTGAN,SVM,0.431640625,0.013671875
S2Rew→S5,TabDDPM,SVM,0.556640625,0.001953125
S2Rew→S5,GaussianCopula,CatBoost,0.431640625,0.083984375
S2Rew→S5,CTGAN,CatBoost,0.845703125,0.6953125
S2Rew→S5,TabDDPM,CatBoost,0.16796875,0.037109375
S2Rew→S6,GaussianCopula,LogisticRegression,0.275390625,0.25
S2Rew→S6,CTGAN,LogisticRegression,0.4921875,0.556640625
S2Rew→S6,TabDDPM,LogisticRegression,0.375,0.375
S2Rew→S6,GaussianCopula,SVM,0.375,0.65234375
S2Rew→S6,CTGAN,SVM,0.083984375,0.375
S2Rew→S6,TabDDPM,SVM,0.048828125,0.556640625
S2Rew→S6,GaussianCopula,CatBoost,0.130859375,1.0
S2Rew→S6,CTGAN,CatBoost,0.4921875,0.8203125
S2Rew→S6,TabDDPM,CatBoost,0.42578125,0.30078125
