comparison,generator,model,p_f1,p_di
S1→S4,GaussianCopula,LogisticRegression,0.625,0.001953125
S1→S4,CTGAN,LogisticRegression,0.013671875,0.001953125
S1→S4,TVAE,LogisticRegression,0.322265625,0.001953125
S1→S4,TabDDPM,LogisticRegression,0.130859375,0.001953125
S1→S4,GaussianCopula,SVM,0.01953125,0.001953125
S1→S4,CTGAN,SVM,0.00390625,0.001953125
S1→S4,TVAE,SVM,0.4921875,0.001953125
S1→S4,TabDDPM,SVM,0.431640625,0.001953125
S1→S4,GaussianCopula,CatBoost,0.275390625,0.001953125
S1→S4,CTGAN,CatBoost,0.00390625,0.001953125
S1→S4,TVAE,CatBoost,0.064453125,0.001953125
S1→S4,TabDDPM,CatBoost,0.193359375,0.001953125
S1→S5,GaussianCopula,LogisticRegression,0.001953125,0.001953125
S1→S5,CTGAN,LogisticRegression,0.431640625,0.001953125
S1→S5,TVAE,LogisticRegression,0.009765625,0.001953125
S1→S5,TabDDPM,LogisticRegression,0.037109375,0.001953125
S1→S5,GaussianCopula,SVM,0.001953125,0.001953125
S1→S5,CTGAN,SVM,0.001953125,0.001953125
S1→S5,TVAE,SVM,0.009765625,0.001953125
S1→S5,TabDDPM,SVM,0.001953125,0.001953125
S1→S5,GaussianCopula,CatBoost,0.00390625,0.001953125
S1→S5,CTGAN,CatBoost,0.001953125,0.001953125
S1→S5,TVAE,CatBoost,0.01953125,0.001953125
S1→S5,TabDDPM,CatBoost,0.00390625,0.001953125
