,,,f1,f1,disparate_impact,disparate_impact
,,,mean,std,mean,std
scenario,generator,model,,,,
S1,GaussianCopula,CatBoost,0.6354,0.0107,0.5082,0.0404
S1,GaussianCopula,LogisticRegression,0.637,0.0118,0.4588,0.0252
S1,GaussianCopula,RandomForest,0.6347,0.0112,0.4852,0.0338
S1,GaussianCopula,SVM,0.6318,0.0134,0.4641,0.0137
S2,GaussianCopula,CatBoost,0.6286,0.0106,0.8128,0.0277
S2,GaussianCopula,LogisticRegression,0.6145,0.0092,0.9444,0.0286
S2,GaussianCopula,RandomForest,0.6258,0.0123,0.6966,0.0337
S2,GaussianCopula,SVM,0.6206,0.0139,0.5724,0.0127
S3,CTGAN,CatBoost,0.6243,0.0108,0.454,0.0603
S3,CTGAN,LogisticRegression,0.5916,0.0331,0.2771,0.0676
S3,CTGAN,RandomForest,0.6132,0.016,0.4626,0.0852
S3,CTGAN,SVM,0.5488,0.0331,0.4365,0.0392
S3,GaussianCopula,CatBoost,0.6226,0.0177,0.4642,0.0638
S3,GaussianCopula,LogisticRegression,0.5955,0.0478,0.3453,0.0985
S3,GaussianCopula,RandomForest,0.6243,0.0242,0.438,0.0699
S3,GaussianCopula,SVM,0.5765,0.0575,0.411,0.0459
S3,TVAE,CatBoost,0.6386,0.0084,0.4861,0.0758
S3,TVAE,LogisticRegression,0.6354,0.016,0.4535,0.0792
S3,TVAE,RandomForest,0.6404,0.0105,0.4684,0.0659
S3,TVAE,SVM,0.635,0.0143,0.4572,0.04
S3,TabDDPM,CatBoost,0.6488,0.0102,0.4932,0.0265
S3,TabDDPM,LogisticRegression,0.0547,0.1579,0.0,0.0
S3,TabDDPM,RandomForest,0.6405,0.0074,0.4923,0.0487
S3,TabDDPM,SVM,0.0,0.0,,
S4,CTGAN,CatBoost,0.5431,0.0776,0.4481,0.1934
S4,CTGAN,LogisticRegression,0.5267,0.107,0.3002,0.2337
S4,CTGAN,RandomForest,0.5345,0.0921,0.4335,0.1741
S4,CTGAN,SVM,0.4907,0.109,0.478,0.1903
S4,GaussianCopula,CatBoost,0.5268,0.1162,0.4273,0.1627
S4,GaussianCopula,LogisticRegression,0.5171,0.1266,0.3254,0.1682
S4,GaussianCopula,RandomForest,0.5293,0.1113,0.4117,0.1649
S4,GaussianCopula,SVM,0.4476,0.1622,0.404,0.1358
S4,TVAE,CatBoost,0.646,0.0145,0.5939,0.1463
S4,TVAE,LogisticRegression,0.6385,0.0157,0.5645,0.1531
S4,TVAE,RandomForest,0.6419,0.0172,0.5495,0.1008
S4,TVAE,SVM,0.6427,0.0184,0.5175,0.058
S4,TabDDPM,CatBoost,0.1813,0.2923,0.3333,0.5774
S4,TabDDPM,LogisticRegression,0.192,0.3092,1.0,0.0
S4,TabDDPM,RandomForest,0.1813,0.2923,0.3333,0.5774
S4,TabDDPM,SVM,0.192,0.3092,1.0,0.0
S5,CTGAN,CatBoost,0.6302,0.0152,0.4438,0.0617
S5,CTGAN,LogisticRegression,0.6137,0.0225,0.2818,0.0463
S5,CTGAN,RandomForest,0.6257,0.0192,0.4466,0.0437
S5,CTGAN,SVM,0.5698,0.0339,0.4377,0.0431
S5,GaussianCopula,CatBoost,0.6308,0.0131,0.4662,0.053
S5,GaussianCopula,LogisticRegression,0.6084,0.0354,0.3507,0.1022
S5,GaussianCopula,RandomForest,0.6301,0.0162,0.4444,0.0516
S5,GaussianCopula,SVM,0.5963,0.0437,0.424,0.031
S5,TVAE,CatBoost,0.6408,0.0128,0.5179,0.0552
S5,TVAE,LogisticRegression,0.6386,0.0167,0.5058,0.0934
S5,TVAE,RandomForest,0.6418,0.0111,0.5045,0.0473
S5,TVAE,SVM,0.6356,0.0169,0.4818,0.0417
S5,TabDDPM,CatBoost,0.6466,0.0094,0.4927,0.0397
S5,TabDDPM,LogisticRegression,0.0501,0.1583,0.0,
S5,TabDDPM,RandomForest,0.6359,0.0125,0.4988,0.0381
S5,TabDDPM,SVM,0.0,0.0,,
S6,CTGAN,CatBoost,0.6135,0.0248,0.8989,0.071
S6,CTGAN,LogisticRegression,0.5848,0.0354,0.8718,0.0795
S6,CTGAN,RandomForest,0.6126,0.0262,0.7309,0.1043
S6,CTGAN,SVM,0.5545,0.0433,0.6,0.0893
S6,GaussianCopula,CatBoost,0.6136,0.0298,0.7274,0.0612
S6,GaussianCopula,LogisticRegression,0.5743,0.061,0.8644,0.0732
S6,GaussianCopula,RandomForest,0.6145,0.0261,0.6183,0.0584
S6,GaussianCopula,SVM,0.5594,0.0574,0.5155,0.039
S6,TVAE,CatBoost,0.6318,0.0139,0.8471,0.0743
S6,TVAE,LogisticRegression,0.6307,0.0155,0.8981,0.0768
S6,TVAE,RandomForest,0.6372,0.0172,0.7064,0.0785
S6,TVAE,SVM,0.6382,0.0161,0.651,0.0428
S6,TabDDPM,CatBoost,0.6365,0.0118,0.4126,0.2285
S6,TabDDPM,LogisticRegression,0.0945,0.2062,0.3377,0.4776
S6,TabDDPM,RandomForest,0.6322,0.0097,0.4003,0.26
S6,TabDDPM,SVM,0.064,0.2024,1.0,
