sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,age_cat_Greater than 45,age_cat_Less than 25
1,46,1,0,0,0,9,1,1,1,0
0,32,0,0,0,0,0,1,1,0,0
1,20,0,0,0,0,0,1,1,0,1
1,22,1,0,0,0,1,1,0,0,1
1,59,1,0,0,0,3,1,0,1,0
1,18,1,10,12,0,0,1,1,0,1
1,80,0,10,12,0,38,0,1,1,0
1,50,0,0,0,0,4,0,0,1,0
1,35,1,0,0,0,5,1,1,0,0
1,80,0,0,12,0,38,0,1,1,0
1,80,0,0,12,0,38,0,1,1,0
1,34,0,0,0,0,4,0,0,0,0
1,80,1,10,12,0,38,1,1,0,1
1,44,1,0,0,0,2,0,0,1,0
1,20,0,0,0,1,2,1,0,0,1
1,18,0,10,12,7,38,1,1,0,0
1,28,0,0,0,0,0,1,0,0,0
1,80,1,10,12,0,0,1,1,0,1
1,18,0,10,12,7,38,1,0,0,1
1,34,0,0,2,0,21,0,1,0,0
1,80,0,0,12,0,38,0,1,0,0
0,19,1,0,0,0,0,1,1,0,1
1,28,0,0,0,0,6,0,0,0,0
1,18,1,10,12,0,0,1,1,0,1
0,57,0,0,0,0,0,1,0,1,0
1,19,1,0,0,0,0,1,1,0,1
1,20,0,0,0,0,3,1,1,0,1
1,42,0,0,0,0,1,0,1,0,0
1,80,0,0,12,0,38,0,0,0,1
1,80,0,0,8,0,38,0,1,1,0
0,35,0,0,0,0,2,0,1,0,0
1,80,0,10,12,7,38,1,1,0,0
1,44,0,0,0,0,17,1,0,1,0
1,21,1,1,0,0,10,1,1,0,1
1,80,1,10,12,0,38,1,0,0,1
1,22,0,0,0,0,3,1,1,0,1
1,80,0,2,12,0,38,0,1,1,0
1,80,0,1,12,0,38,0,1,1,0
1,80,0,10,12,0,38,0,1,1,0
0,20,1,0,0,0,2,1,1,0,1
1,80,0,6,12,0,38,0,1,1,0
1,20,0,0,0,0,1,1,1,0,1
0,25,1,0,0,0,0,1,1,0,0
1,80,0,0,7,0,38,0,1,1,0
1,38,0,0,0,0,2,0,1,0,0
1,22,0,0,0,0,1,1,1,0,1
1,80,0,1,12,0,38,0,1,1,0
0,42,0,0,0,0,0,1,1,0,0
0,49,1,0,0,0,0,1,0,1,0
1,80,0,10,12,0,38,0,1,0,0
1,80,0,0,12,0,38,0,1,0,0
1,18,1,0,3,0,3,1,1,0,1
1,49,0,0,0,0,10,1,0,1,0
1,36,1,0,0,0,1,1,1,0,0
1,80,0,10,12,7,38,1,1,0,0
1,80,0,3,12,0,38,0,1,1,0
1,19,1,1,0,0,1,0,1,0,1
1,23,0,0,0,0,3,1,0,0,0
0,26,1,0,0,0,3,1,0,0,0
1,80,1,2,2,1,0,0,0,1,0
1,23,0,0,0,5,7,1,0,0,1
0,35,0,0,0,0,2,1,0,0,0
1,80,0,4,12,0,38,0,1,1,0
1,18,1,10,12,0,0,1,1,0,1
0,36,1,0,0,0,0,0,0,0,0
0,28,1,0,0,0,5,1,1,0,0
1,80,1,10,12,0,38,1,0,0,1
0,38,0,0,0,0,10,0,1,0,0
1,29,0,0,0,0,0,1,0,0,0
1,23,0,0,0,0,3,1,0,0,1
1,18,1,0,0,0,0,1,1,0,1
1,80,0,0,12,0,38,0,1,0,0
1,37,1,0,0,0,0,0,1,0,0
1,80,0,10,12,7,38,0,1,0,0
0,18,1,0,12,7,0,0,1,0,1
1,80,0,0,12,0,38,0,1,0,0
1,18,0,10,12,7,38,1,1,0,0
1,80,0,3,12,0,38,0,1,1,0
1,18,0,5,12,7,38,1,1,0,0
1,18,1,10,12,0,0,1,1,0,1
1,28,0,0,0,0,6,1,1,0,0
1,25,0,0,0,0,0,0,1,0,0
1,47,1,0,0,0,3,1,0,1,0
0,31,0,0,0,0,0,0,0,0,0
1,55,0,0,1,0,38,0,0,1,0
1,39,0,0,0,0,1,0,0,0,0
1,32,0,0,0,0,0,0,0,0,0
1,54,0,0,0,0,0,1,0,0,0
1,80,0,0,12,0,38,0,1,0,0
1,59,1,0,0,0,0,1,0,1,0
1,31,1,0,0,0,3,1,0,0,0
0,26,1,0,0,0,8,0,0,0,0
1,34,0,0,0,0,1,1,0,0,0
1,80,0,10,12,7,38,1,1,0,0
1,31,0,0,0,0,6,1,1,0,0
1,51,1,0,0,0,4,1,0,1,0
1,18,0,0,12,7,38,1,1,0,0
1,24,0,0,0,0,0,1,0,0,0
1,80,0,0,12,0,38,0,0,0,0
1,24,0,0,0,0,3,0,1,0,0
0,40,0,0,0,0,0,1,0,0,0
1,32,0,1,0,0,3,1,0,0,0
1,80,0,10,12,0,38,0,1,1,0
1,80,0,0,12,0,38,0,1,1,0
1,80,0,0,2,0,38,0,1,1,0
1,46,0,0,0,0,10,0,0,0,0
1,18,1,10,12,0,0,1,1,0,1
1,80,0,1,12,0,38,0,1,1,0
1,22,1,1,9,0,8,1,0,0,1
1,80,0,6,12,0,38,0,1,1,0
1,18,1,10,12,0,0,1,1,0,1
1,80,0,6,12,0,38,0,1,1,0
1,18,0,0,12,7,38,0,1,0,0
1,80,1,2,2,1,0,0,0,1,0
1,36,0,0,0,0,0,1,0,0,0
1,80,0,0,3,0,38,0,1,1,0
1,80,0,0,4,0,38,0,1,1,0
1,80,1,10,12,7,38,1,1,0,1
1,18,0,10,12,7,38,1,1,0,0
1,29,0,0,0,0,2,1,1,0,0
1,80,1,10,12,0,38,1,1,0,1
1,80,0,10,12,7,38,1,1,0,0
1,80,0,10,12,0,38,0,1,0,0
0,23,0,0,0,0,1,1,0,0,1
1,47,1,0,0,0,1,0,1,1,0
0,19,0,0,0,0,0,0,0,0,1
1,47,1,0,0,0,0,1,1,1,0
0,56,1,0,0,0,6,0,0,1,0
1,80,0,0,12,0,38,0,1,0,0
0,35,1,0,0,0,1,1,0,0,0
1,80,0,10,12,0,38,0,1,1,0
1,35,0,0,0,0,13,1,1,0,0
1,29,0,0,0,0,5,0,1,0,0
1,18,1,10,12,0,0,1,1,0,1
1,31,1,0,0,0,1,1,0,0,0
1,26,0,0,0,0,0,1,0,0,0
1,80,0,0,11,0,38,0,1,1,0
1,26,0,0,0,0,9,1,1,0,0
1,18,1,10,12,0,38,1,0,0,1
0,18,1,0,12,7,0,0,1,0,1
1,66,0,0,0,0,4,1,1,1,0
1,18,1,10,12,7,0,0,1,0,1
1,28,0,0,0,0,7,1,1,0,0
1,24,0,0,0,0,4,1,1,0,0
1,80,0,4,12,0,38,0,1,1,0
0,18,1,0,12,7,0,0,1,0,1
1,80,0,10,12,7,38,1,1,0,0
1,26,0,0,0,0,10,1,1,0,0
1,23,1,0,0,0,2,1,1,0,1
1,80,0,0,12,0,38,0,1,1,0
1,80,0,5,12,0,38,0,1,1,0
1,75,1,0,0,0,8,1,0,1,0
0,18,1,0,0,0,1,0,0,0,1
