sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid,age_cat_Greater than 45,age_cat_Less than 25
1,-79802.24,0,-2472.2192,3297.8604,3237.7668,23464.025,1,0,-4877.883,-6876.9673
1,-47530.395,0,2978.9185,-12086.823,4581.039,-29871.42,1,0,-5109.511,-10224.113
1,-284808.84,0,12946.716,-9031.838,6339.3594,-63365.418,1,0,-953.28345,-8987.023
1,324565.4,0,1443.2728,1445.5417,9368.261,3242.5361,1,0,-1682.9689,147.99095
1,-336724.5,0,6581.9,770.79315,-9312.013,-1209.0105,1,1,7835.7485,6774.749
1,-257121.23,0,-10223.577,-606.80334,4396.956,-10501.454,1,0,-2020.4106,764.46967
1,-219980.08,0,2953.3472,5606.0,-4175.7217,-132332.16,1,0,51.2496,-9229.706
1,-165473.28,0,2288.0815,-8910.077,2255.038,-95285.055,1,0,16479.092,5468.1626
1,74568.86,0,4132.299,11816.989,4358.6846,-18633.875,1,0,-7893.0713,-2550.354
1,274745.72,0,-2725.7788,-16228.953,-8567.737,13323.63,1,0,7726.803,786.84106
1,148035.33,0,-5679.35,-13530.202,-264.46625,-90194.2,1,0,-6940.0703,-6041.9033
1,403906.97,0,-1244.6228,505.1586,11125.614,73764.14,1,0,-3572.7495,2525.1921
1,-127721.73,0,10614.607,6203.8135,3842.0662,-55255.215,1,0,9608.055,874.7135
1,-160157.39,0,-4000.2307,11657.034,-8429.497,-1262.7319,1,0,8493.969,-2784.2473
1,290133.34,0,-7195.939,8577.957,25241.922,20051.203,1,0,6341.1616,-8848.245
1,146324.5,0,-3282.5916,48.997643,3196.2925,14975.158,1,0,-4416.888,7354.563
1,-49252.95,0,4219.255,15303.725,1027.2666,-160042.95,1,0,-11937.651,-2715.8948
1,-86669.01,0,15394.657,-1525.6404,-9272.915,-43807.957,1,1,266.116,7564.0474
1,9025.486,0,-6703.0586,-14660.689,-3749.593,45280.277,1,0,-4439.2188,6409.927
1,-342709.53,0,8129.027,2246.3867,4698.407,-66029.96,1,0,4007.3108,13608.823
1,358258.4,0,7044.5776,-5655.512,3.2957006,7942.7524,1,0,-5672.8125,1850.4574
1,100345.766,0,3779.3784,-1183.891,969.5869,62064.11,1,1,-7662.1865,438.03683
1,66089.47,0,-8411.378,-11709.808,-3329.7078,-37051.39,1,0,-2399.2664,11025.542
1,172399.81,0,5797.195,2138.0947,8444.69,-89784.195,1,0,231.90727,19200.48
1,40348.434,0,-5657.8745,-1779.8931,-3926.3665,-4020.8206,1,0,14131.748,2110.7705
1,-206319.27,0,3583.8586,2607.5671,16610.168,-31418.83,1,0,2317.2495,-12874.578
1,-158724.03,0,-12890.894,11276.611,14757.167,119330.59,1,0,-3005.3345,2810.0947
1,148988.42,0,-10880.085,-9504.486,17931.031,78531.8,1,0,-5911.0054,5042.566
1,133804.66,0,15475.037,-18428.092,4350.686,-88240.555,1,0,-6333.196,-9540.609
1,-15468.316,0,-6214.5796,-5252.87,-1820.1072,41399.54,1,0,-1441.3497,14427.637
1,-75504.27,0,4554.7417,-6838.162,2116.6826,-43765.47,1,0,1806.6843,-4993.199
1,-53197.445,0,5738.812,-2691.6655,-16757.127,18497.043,1,1,-5177.2886,6164.769
1,61816.22,0,4350.479,-8196.8,501.33566,-64240.68,1,0,-9750.028,-6361.1875
1,194354.36,0,-1317.075,24523.531,-16243.593,-8491.289,1,0,-3059.582,4004.714
1,133369.81,0,-2965.5598,-7037.3364,-4557.352,-119767.97,1,0,-128.14076,6257.772
1,-167069.5,0,7145.692,-1030.04,-3321.49,99429.695,1,1,-9309.681,5986.974
1,24030.775,0,-7405.587,-1822.946,644.72845,168350.0,1,1,-754.3633,4132.5874
1,146351.22,0,1355.1642,-3721.3318,6067.2417,-716.5338,1,0,-4463.025,-8646.729
1,92450.06,0,-749.55994,-7603.1504,-4625.059,27627.436,1,0,8727.83,1457.2538
1,383587.66,0,1136.986,-7007.9097,-517.5789,11671.791,1,0,4402.992,-2356.186
1,75700.34,0,-1592.0336,-10881.742,-1231.9327,63322.27,1,0,5378.6787,5504.9517
1,85190.38,0,-3702.783,9212.656,4489.157,1780.139,1,0,1307.0178,47.102047
1,27560.566,0,-14186.1045,6606.847,-9270.257,54940.664,1,0,329.28604,6962.8223
1,-117062.34,0,16495.848,-2434.029,8804.729,-128086.75,1,0,1894.018,-5391.4956
1,204519.9,0,7226.8457,-3576.3286,14504.931,18913.566,1,0,-20664.93,-9478.638
1,24235.252,0,-744.12134,-18318.729,2660.206,49739.367,1,0,6117.312,5395.3677
1,154811.45,0,-2462.997,2021.5084,7797.186,16558.781,1,0,6283.405,-6783.7373
1,107926.42,0,6005.265,-5524.6226,1306.393,-46263.984,1,0,-4752.611,-6427.698
1,-51270.848,0,-12103.331,559.439,-4968.4727,51114.22,1,0,-11283.652,11005.147
1,126640.73,0,-6888.3423,-1337.6296,-8057.922,-16406.332,1,0,-9515.194,-4417.1694
1,-208385.94,0,14650.568,-756.6305,-8199.189,-71049.19,1,1,-3754.787,4523.106
1,-82499.12,0,10488.396,-12144.878,7348.0825,-70660.26,1,0,-6147.2285,6765.546
1,355484.75,0,9080.0,3904.798,9797.548,16860.672,1,0,-6022.993,2445.9028
1,327156.38,0,-17786.156,22981.553,-8788.456,142655.06,1,1,-16211.76,8141.6724
1,196373.4,0,-13233.119,11697.225,-11960.114,-128209.03,1,0,7017.605,6872.7124
1,-64149.926,0,-13560.573,-10133.806,3304.9155,27300.77,1,0,-4146.9146,7892.624
1,-253486.55,0,4987.3066,5981.5615,-1984.2012,87638.38,1,0,2601.9243,-6091.403
1,-176056.61,0,2706.7478,-4841.6553,-6697.8154,-80968.87,1,0,-4506.209,-7595.808
1,76509.164,0,856.7683,-10960.311,-6050.85,223269.27,1,1,-13676.697,2991.5374
1,-49771.04,0,5478.7476,-7722.0654,11204.576,-14862.878,1,0,5940.0244,-9922.147
1,324580.97,0,2751.0078,-1577.2864,4791.7754,-47885.574,1,0,-14.575648,16031.135
1,254333.4,0,-728.5479,-4391.588,9501.942,-69431.266,1,0,-5962.7056,-9449.08
1,-203339.0,0,13179.273,4785.5684,18305.506,5180.8394,1,0,-1199.9579,-18147.627
1,-53730.992,0,5681.7007,23276.04,-4887.865,61949.152,1,1,-10514.931,2254.2952
1,-75715.15,0,6213.9766,-3658.8855,3666.986,54415.082,1,1,-6245.2954,-5480.5693
1,-606665.94,0,1093.7339,3240.0193,-4146.7896,-21522.72,1,0,-2557.5266,-5130.9663
1,158667.25,0,-2364.043,-4307.094,2723.9695,77213.07,1,0,-3707.368,10454.949
1,377088.28,0,-5309.2935,-4473.0376,-3608.1892,-68524.43,1,0,15490.643,2074.8008
1,68445.62,0,6630.9404,338.7657,-1499.0492,-8265.984,1,0,17468.584,-5448.418
1,259802.23,0,4082.8083,-9106.388,-3858.1665,-24034.91,1,0,-12246.436,7768.7847
1,-260609.12,0,-404.22644,-128.53926,-1441.2177,-88817.14,1,0,13088.847,989.917
1,27446.475,0,2244.6064,25505.463,-483.82733,47173.375,1,0,30.211334,-11022.77
1,-101440.44,0,6001.289,2352.6958,-7916.382,23373.385,1,0,979.9874,-13761.93
1,-49291.43,0,2472.45,9646.528,17177.582,171588.14,1,0,-18732.756,-16427.08
1,-77624.12,0,-1787.0482,-7704.896,-3755.8118,-62754.777,1,0,6867.083,-5265.209
1,-156054.92,0,-3868.0125,-8983.327,-6843.719,-50904.387,1,0,254.11784,5381.1787
1,-104409.11,0,1965.5623,-3216.5564,-232.00383,81417.914,1,1,-15161.362,1450.0278
1,-91137.68,0,-1137.315,7650.522,-11397.455,16547.125,1,1,-8921.135,3336.75
1,-4564.6313,0,-261.73764,46.823544,-2974.7131,96751.086,1,1,-821.3324,7537.4136
1,114138.93,0,-5310.173,-594.7777,-19048.125,43602.746,1,0,-9677.164,7610.022
1,177474.19,0,17026.16,6906.368,1468.2682,-9201.6,1,1,13734.271,10610.953
1,95615.37,0,7494.774,299.97034,-10163.722,-5103.3774,1,0,-5401.1196,-1560.8282
1,-160211.33,0,4457.0884,4016.5012,771.49335,-56409.664,1,0,-4321.8433,-7505.938
